Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,Postal_Code,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,The Outlet Collection - Tesla Supercharger,1101 Outlet Collection Way,,Auburn,WA,98001,,877-798-3752,E,,Public,24 hours daily,,,,,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,47.29799,-122.248532,7/1/2023,150184,2023-07-14 19:41:28 UTC,P,,,10/19/2019,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,"The Outlet Collection ( Auburn, WA)",1101 Outlet Collection Way,,Auburn,WA,98001,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,47.29771,-122.24911,4/9/2024,189391,2024-04-09 08:21:50 UTC,,,,5/8/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Pillar Properties - The Verge,109 S Division St,,Auburn,WA,98001,,888-998-2546,E,,Public,24 hours daily,,,,,,4,,,Blink Network,http://www.blinkcharging.com/,GPS,47.3064421,-122.229972,4/9/2024,192889,2024-04-09 01:20:13 UTC,,,,7/15/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Best Western Mountainview Inn,401 8th St SW,,Auburn,WA,98001,,888-356-8911,E,,Public,24 hours daily,,,,,,2,,,FLO,https://flo.ca/,GPS,47.3016,-122.234444,4/9/2024,254548,2024-04-09 11:18:02 UTC,,,,2/24/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Rairdon's Nissan - Auburn,713 35th St NE,,Auburn,WA,98002,,,E,,Private,Service center only,,,,,,1,,,Non-Networked,,200-9,47.338754,-122.221114,2/12/2024,39776,2024-02-12 15:25:05 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,HINSHAWSHONDA SHOP 01,2605 Auburn Way N,,Auburn,WA,98002,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.330144,-122.22253,4/9/2024,154101,2024-04-09 03:25:18 UTC,,,,2/27/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,AUBURN CENTER GREEN RIVER #1,1221 D St. NE,,Auburn,WA,98002,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.318711,-122.225391,4/9/2024,170032,2024-04-09 02:27:05 UTC,,,,12/10/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Green River,1103 Ninth Street SE,,Auburn,WA,98002,,888-998-2546,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,47.2999,-122.2135,4/9/2024,223484,2024-04-09 01:24:05 UTC,,,,3/24/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Best Western Plus - Evergreen Inn and Suites,32124 25th Ave S,,Federal Way,WA,98003,,253-529-4000,E,,Public,24 hours daily; for guest use only; see front desk for access,,,,,,1,,,Non-Networked,,GPS,47.313989,-122.300707,6/14/2022,71773,2023-02-14 15:54:11 UTC,P,,,6/28/2019,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE
ELEC,Best Western Plus Evergreen Inn & Suites - Tesla Destination,32124 25th Ave S,,Federal Way,WA,98003,,253-529-4000  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.313799,-122.301009,10/6/2022,116089,2023-01-18 15:15:20 UTC,P,,,4/9/2015,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE
