Postal_Code,Median income (dollars)
83856,63654
98001,103338
98002,68040
98003,67547
98004,157784
98005,151297
98006,185991
98007,118634
98008,164219
98010,141579
98011,124418
98012,139474
98014,149028
98019,149479
98020,111803
98021,155891
98022,112818
98023,98057
98024,149044
98025,0
98026,118151
98027,140556
98028,132191
98029,156427
98030,85188
98031,98657
98032,76683
98033,163786
98034,119806
98036,90770
98037,98570
98038,135304
98039,244740
98040,190985
98042,122709
98043,96085
98045,154803
98047,98056
98050,0
98051,110296
98052,158457
98053,171822
98055,90525
98056,102196
98057,68293
98058,106611
98059,126846
98065,175750
98068,82250
98070,103222
98072,157963
98074,229104
98075,234261
98077,169573
98087,102896
98092,112735
98101,111099
98102,114026
98103,122656
98104,63621
98105,75214
98106,94762
98107,131559
98108,90179
98109,124408
98110,151290
98112,153204
98115,141013
98116,129924
98117,166029
98118,106930
98119,112865
98121,142926
98122,94548
98125,89983
98126,108072
98133,85059
98134,65139
98136,144659
98144,97953
98146,101051
98148,81431
98154,0
98155,124531
98158,0
98164,"250,000+"
98166,105013
98168,77935
98174,0
98177,153542
98178,96875
98188,77722
98195,0
98198,76062
98199,168132
98201,71313
98203,96351
98204,63738
98207,0
98208,98805
98220,138452
98221,90007
98222,102500
98223,97344
98224,74432
98225,61679
98226,71943
98229,87946
98230,79789
98232,102841
98233,76590
98235,57826
98236,91328
98237,68929
98238,0
98239,85735
98240,102602
98241,67717
98243,82279
98244,77557
98245,67734
98247,72240
98248,86334
98249,95250
98250,83929
98251,71175
98252,91266
98253,70511
98255,0
98256,87188
98257,85097
98258,113684
98260,94309
98261,73077
98262,82500
98263,113750
98264,90147
98266,50980
98267,0
98270,98912
98271,98279
98272,109051
98273,71498
98274,88494
98275,123036
98276,76125
98277,72441
98278,0
98279,58906
98280,76583
98281,74400
98282,97632
98283,58309
98284,80326
98286,69750
98288,55833
98290,123819
98292,96627
98294,79705
98295,91060
98296,171445
98297,43000
98303,92933
98304,74375
98305,0
98310,68247
98311,95595
98312,78664
98314,204250
