Postal_Code,population_density
83856,6.7
98001,742.6
98002,1984
98003,1723.2
98004,2079.8
98005,1159.1
98006,1365.6
98007,2464.1
98008,1879.5
98010,159.2
98011,1509.1
98012,1863
98014,33.8
98019,122.1
98020,1441.7
98021,1331.7
98022,11.8
98023,1910
98024,88.6
98025,0
98026,1606.4
98027,188.5
98028,1482.9
98029,1185.1
98030,2083.5
98031,2077.7
98032,890.6
98033,1695.9
98034,2071
98036,1697.4
98037,1984.6
98038,222.2
98039,786.3
98040,1540.4
98042,685.6
98043,2034.8
98045,34.5
98047,1265.5
98050,15.1
98051,27.4
98052,1473.7
98053,317.9
98055,2114.5
98056,1840.8
98057,800.7
98058,862.5
98059,993.9
98065,87.6
98068,0.8
98070,114.4
98072,537.3
98074,1142.2
98075,1010
98077,319.1
98087,2811.2
98092,456.1
98101,11913.6
98102,7833.6
98103,4369.1
98104,6147.8
98105,5061.5
98106,1985.4
98107,5006.1
98108,1243.6
98109,6436.5
98110,345.1
98112,2826.6
98115,3207.1
98116,3584.9
98117,3600.4
98118,3023.7
98119,4156.4
98121,17900.9
98122,6820.6
98125,3130.9
98126,2630.2
98133,2758.2
98134,99.2
98136,2931.2
98144,3726.3
98146,2346.8
98148,1517.1
98154,0
98155,1819.4
98158,0
98164,26077.5
98166,1498.5
98168,1545.7
98174,0
98177,1445.7
98178,2108.1
98188,1317.4
98195,2346.5
98198,1946.4
98199,2038.4
98201,629.8
98203,1190
98204,2241.9
98207,1750.2
98208,1538.7
98220,11
98221,170.8
98222,6.8
98223,56.3
98224,1.4
98225,1525.5
98226,166.8
98229,262.9
98230,168.9
98232,28.2
98233,197.4
98235,640.9
98236,113.8
98237,4.6
98238,77.2
98239,95
98240,59.4
98241,2
98243,37.8
98244,2.7
98245,44.5
98247,49
98248,146
98249,106
98250,56.6
98251,11.3
98252,16
98253,74.3
98255,181.6
98256,1.6
98257,93.7
98258,527
98260,79.9
98261,40.3
98262,40.3
98263,281.3
98264,150.9
98266,30.4
98267,0.2
98270,1429.4
98271,257.9
98272,115.8
98273,140
98274,49.5
98275,1128.2
98276,853.6
98277,271
98278,215
98279,17.4
98280,24.8
98281,98.7
98282,168.8
98283,0.4
98284,38
98286,7.9
98288,0.2
98290,131
98292,129.5
98294,53.6
98295,37.4
98296,306.8
98297,4.7
98303,78.9
98304,1.1
98305,0.4
98310,1521.9
98311,949.2
98312,189.6
98314,5177.1
98315,210.5
98320,4.2
98321,184.1
98323,2.6
98325,20.7
98326,1.4
98327,562.3
98328,17.6
98329,166.7
98330,6.9
98331,2.4
98332,368.2
98333,270.9
98335,488.2
98336,3.4
98337,2291.9
98338,232.8
98339,104.9
98340,139
98342,193.7
98345,219.3
98346,132.3
98349,94.4
98350,89.6
98351,47.8
98353,6.7
98354,1110.1
98355,1.7
98356,7.3
98357,14.1
98358,53.8
98359,136
98360,85.4
98361,0.5
98362,77.1
98363,11.5
98364,626.9
98365,54.6
98366,617.4
98367,163.8
98368,125.7
98370,225.3
98371,749.7
98372,766.3
98373,1238.5
98374,1073.8
98375,1300.6
98376,7.3
98377,2.8
98380,44.6
98381,2.6
98382,57.5
98383,506.6
98385,242.7
98387,745.6
98388,308.1
98390,482.3
98391,570.1
98392,692.6
98394,88.3
98396,23.4
98402,2319.8
98403,3324.6
98404,1970.5
98405,2285.7
98406,2123.6
98407,1507.9
98408,2426.4
98409,1548.8
98416,3629.9
98418,2308
98421,46.9
98422,1216.2
98424,737.5
98430,573.7
98433,234.5
98438,224.8
98439,402.9
98443,420.7
98444,1965.9
98445,1228.7
98446,490.1
98447,3624
98465,1795.8
98466,1887.6
98467,1224.1
98498,1097.1
98499,1493.4
98501,517.6
98502,216.4
98503,1472.9
98505,540
98506,326.3
98512,85.7
98513,286.4
98516,364.5
98520,44.4
98524,199.1
98526,0.8
98527,9.6
98528,66.2
98530,80.1
98531,80.5
98532,33
98533,2.1
98535,6.2
98536,0
98537,7.1
98538,1.4
98539,126.3
98541,19.7
98542,25.1
98544,26.9
98546,33.4
98547,7.8
98548,5.2
98550,17.8
98552,1.3
98555,3.5
98556,1448.8
98557,45.1
98558,358
98559,0
98560,0.7
98562,30.8
98563,7.1
98564,8.4
98565,719
98566,3.9
98568,6
98569,202.4
98570,13.5
98571,7.6
98572,8.6
98575,0.8
98576,23.3
98577,7.8
98579,58.4
98580,34
98581,5.6
98582,15.6
98583,536.5
98584,41.5
98585,10
98586,5.8
98587,6.4
98588,13.4
98589,31
98590,50.6
98591,12.4
98592,40.4
98593,39.1
98595,204.6
98596,32.5
98597,90.4
98601,36.7
98602,0.8
98603,4
98604,199.4
98605,13.3
98606,96.8
98607,282.8
98609,0
98610,7.7
98611,26.5
98612,12.5
98613,2.5
98614,6.6
98616,0.3
98617,23.3
98619,1.7
98620,6.3
98621,2
98623,36.1
