Postal_Code,Bachelor or higher
83856,1010
98001,7194
98002,4210
98003,9641
98004,22587
98005,11184
98006,20092
98007,13632
98008,12576
98010,2363
98011,11607
98012,27575
98014,2718
98019,3893
98020,9023
98021,13603
98022,5008
98023,11579
98024,1842
98025,0
98026,13138
98027,13563
98028,10020
98029,15900
98030,6610
98031,8360
98032,6267
98033,21159
98034,21143
98036,11286
98037,7708
98038,11084
98039,1723
98040,14094
98042,10919
98043,6625
98045,5596
98047,995
98050,73
98051,736
98052,40193
98053,11629
98055,6349
98056,11445
98057,3411
98058,11732
98059,13451
98065,6960
98068,178
98070,4388
98072,11540
98074,15560
98075,12587
98077,6166
98087,10652
98092,11882
98101,9354
98102,17979
98103,31347
98104,5926
98105,18483
98106,9153
98107,17169
98108,5961
98109,20427
98110,13682
98112,14806
98115,31341
98116,14983
98117,19467
98118,17522
98119,14079
98121,15048
98122,21190
98125,19615
98126,9783
98133,19034
98134,230
98136,9111
98144,15732
98146,6927
98148,1814
98154,0
98155,14704
98158,0
98164,186
98166,7407
98168,6148
98174,0
98177,10621
98178,6854
98188,5028
98195,0
98198,7985
98199,13070
98201,6696
98203,7837
98204,5760
98207,34
98208,13864
98220,61
98221,8011
98222,62
98223,6616
98224,47
98225,14105
98226,12284
98229,11913
98230,4070
98232,1128
98233,2984
98235,31
98236,2419
98237,391
98238,0
98239,2576
98240,579
98241,310
98243,167
98244,627
98245,1713
98247,1274
98248,5789
98249,1743
98250,3689
98251,490
98252,1611
98253,895
98255,58
98256,26
98257,1479
98258,10260
98260,2551
98261,1416
98262,451
98263,18
98264,3474
98266,312
98267,0
98270,7754
98271,4633
98272,5900
98273,4956
98274,3892
98275,8089
98276,228
98277,7342
98278,85
98279,294
98280,237
98281,478
98282,4899
98283,95
98284,3817
98286,94
98288,45
98290,10266
98292,4517
98294,1321
98295,323
98296,8505
98297,50
98303,488
98304,309
98305,26
98310,4099
98311,6098
98312,5589
98314,60
98315,636
98320,207
98321,3215
98323,96
98325,525
98326,101
98327,3436
98328,1262
98329,2241
98330,24
98331,759
98332,7646
98333,1621
98335,9719
98336,74
98337,1758
98338,3815
98339,670
98340,1080
98342,522
98345,106
98346,3239
98349,967
98350,14
98351,245
98353,0
98354,1137
98355,141
98356,227
98357,162
98358,395
98359,864
98360,2140
98361,142
98362,6227
98363,2675
98364,18
98365,1908
98366,6724
98367,6341
98368,7525
98370,10279
98371,4637
98372,5025
98373,4982
98374,8543
98375,5262
98376,608
98377,354
98380,1287
98381,76
98382,8665
98383,5470
98385,48
98387,5324
98388,2196
98390,1989
98391,11173
98392,822
98394,202
98396,59
98402,2654
98403,4059
98404,4506
98405,5812
98406,8425
98407,8167
98408,3712
98409,3461
98416,14
98418,1531
98421,20
98422,6097
98424,1984
98430,65
98433,2106
98438,0
98439,362
98443,888
98444,3585
98445,3758
98446,2379
98447,5
98465,2191
98466,8612
98467,4251
98498,6361
98499,4584
98501,15130
98502,12497
98503,9100
98505,0
98506,7551
98512,7950
98513,8396
98516,7346
98520,2631
98524,899
98526,17
98527,79
98528,1518
98530,37
98531,3755
98532,4134
98533,103
98535,82
98536,0
98537,371
98538,33
98539,16
98541,1035
98542,61
98544,0
98546,663
98547,198
98548,546
98550,1674
98552,36
98555,74
98556,13
98557,502
98558,11
98559,0
98560,12
98562,0
98563,1228
98564,301
98565,33
98566,7
98568,192
98569,1291
98570,373
98571,0
98572,57
98575,21
98576,653
98577,1068
98579,1911
98580,1934
98581,119
98582,8
98583,0
98584,5660
98585,47
98586,259
98587,41
98588,215
98589,1470
98590,24
98591,726
98592,689
98593,190
98595,402
98596,1124
98597,3570
98601,447
98602,0
98603,116
98604,6931
98605,270
98606,2507
98607,12025
98609,0
98610,358
98611,855
98612,517
98613,126
98614,84
98616,5
98617,79
98619,78
98620,1373
98621,86
98623,36
98624,363
98625,1474
98626,2696
98628,27
98629,1565
98631,822
98632,5483
98635,593
98638,200
98639,185
98640,1109
98641,0
98642,6238
98643,82
98644,286
98645,455
98647,48
98648,714
98649,25
98650,318
98651,380
98660,3638
98661,9289
98662,6381
98663,3596
98664,5592
98665,5541
98670,7
98671,5358
98672,2351
98673,21
98674,1945
98675,812
98682,10840
98683,9259
98684,6699
98685,9522
98686,5176
98801,8951
98802,5028
98811,37
98812,315
98813,54
98814,110
98815,1208
98816,1279
98817,37
98819,23
98821,69
98822,243
98823,1130
98824,15
98826,2753
98827,118
98828,307
98829,40
98830,159
98831,696
98832,22
98833,74
98834,53
98836,91
98837,6053
98840,679
98841,1072
98843,402
98844,476
98845,19
98846,150
98847,398
98848,1190
98849,106
98850,64
98851,456
98852,7
98853,0
98855,853
98856,800
98857,385
98858,229
98859,32
98860,49
98862,1513
98901,3437
98902,4983
98903,1780
98908,8030
98921,0
98922,1663
98923,249
98925,101
98926,7472
98930,619
98932,231
98933,117
98934,237
98935,165
98936,848
98937,710
98938,89
98939,0
98940,116
98941,224
98942,3143
98943,116
98944,1291
98946,75
98947,299
98948,589
98950,24
98951,745
98952,149
98953,980
99001,745
99003,727
99004,4686
99005,2159
99006,1590
99008,81
99009,625
99011,508
99012,209
99013,20
99014,0
99016,5654
99017,24
99018,44
99019,3607
99020,8
99021,1894
99022,1939
99023,283
99025,1116
99026,1921
99027,1103
99029,287
99030,86
99031,224
99032,98
99033,170
99034,49
99036,372
99037,3058
99039,14
99040,130
99101,254
99102,148
99103,105
99105,4
99109,714
99110,137
99111,894
99113,165
99114,2083
99115,155
99116,339
99117,81
99118,121
99119,163
99121,91
99122,693
99123,139
99124,40
99125,76
99126,72
99128,71
99129,59
99130,168
99131,10
99133,295
99134,132
99135,61
99136,0
99137,77
99138,118
99139,121
99140,40
99141,887
99143,191
99144,7
99146,10
99147,8
99148,581
99149,19
99150,37
99151,26
99152,20
99153,49
99154,9
99155,59
99156,1488
99157,111
99158,120
99159,157
99160,9
99161,526
