Postal_Code,Population>18,Total,Urban,Rural
83856,5516,6429,0,6429
98001,27450,36073,36073,0
98002,27839,38474,38474,0
98003,39131,51751,51751,0
98004,32853,39136,39136,0
98005,17162,20961,20961,0
98006,30527,40871,40871,0
98007,22356,29476,29476,0
98008,21489,26518,26518,0
98010,4702,5699,4574,1125
98011,21579,27897,27897,0
98012,56197,74956,74956,0
98014,5840,7651,0,7651
98019,8032,12284,8165,4119
98020,16139,20236,20224,12
98021,25525,34001,34001,0
98022,17590,22874,13141,9733
98023,39749,51713,51666,47
98024,4099,5141,2291,2850
98025,0,40,0,40
98026,31675,38610,38572,38
98027,22653,29089,23610,5479
98028,18670,23914,23914,0
98029,23534,31432,31032,400
98030,29116,38933,38933,0
98031,31614,43055,43055,0
98032,29498,38744,38744,0
98033,32189,41763,41763,0
98034,42322,51464,51464,0
98036,33754,42248,42248,0
98037,23604,29584,29584,0
98038,26753,37487,31081,6406
98039,2167,2915,2915,0
98040,19582,25748,25748,0
98042,37424,49031,47275,1756
98043,17418,21285,21285,0
98045,11945,15749,11762,3987
98047,5345,6966,6966,0
98050,73,223,0,223
98051,2976,3802,473,3329
98052,59838,77176,77176,0
98053,16965,22523,18410,4113
98055,19202,24458,24458,0
98056,29078,36344,36344,0
98057,11173,13493,13493,0
98058,32871,43630,40905,2725
98059,31589,41672,40898,774
98065,11242,16292,14779,1513
98068,467,530,0,530
98070,9001,11055,0,11055
98072,19721,24939,24939,0
98074,21246,30534,30462,72
98075,18027,26022,26022,0
98077,10989,13522,12533,989
98087,32601,40711,40711,0
98092,37610,50258,44531,5727
98101,15773,16237,16237,0
98102,24449,25066,25066,0
98103,45117,53056,53056,0
98104,14208,16157,16157,0
98105,44803,49151,49151,0
98106,23102,26295,26295,0
98107,24813,28557,28557,0
98108,18607,25009,25009,0
98109,30307,34551,34551,0
98110,19556,24825,24703,122
98112,19523,23152,23152,0
98115,44619,54322,54322,0
98116,23508,27691,27691,0
98117,28784,35608,35608,0
98118,39045,47504,47504,0
98119,23015,26238,26238,0
98121,20274,21411,21411,0
98122,37505,41646,41646,0
98125,37157,42965,42965,0
